floor,collapse_risk_score,column_fck,beam_fck,slab_fck,Y8_fyk,Y10_fyk,Y12_fyk,Y16_fyk,Y20_fyk,bearing_capacity,location,building_type,foundation_type,supervision
2,2,24.618809044948677,26.385133549567318,27.892473274462652,0.0,228.1917649431216,0.0,381.4519360060254,-8.810146741140072,242.2226622554294,Abuja,Residential,Pad,Unknown
2,1,29.02327984432216,8.206764172092514,21.66941101363083,5.206565157942086,-5.773543987333006,0.0,0.0,389.42632626281227,159.34060030763763,Benue,Commercial,Pad,Yes
2,1,27.782474268457946,22.835187558948082,22.37499603671019,0.0,240.67321661492798,0.0,403.4560791851051,404.3179520602675,246.26528161244659,Benue,School,Raft,No
1,2,27.81797398492421,22.917254904039194,26.952944944594663,248.54165639392036,255.07108970101382,407.21949852880397,0.0,407.3071013715448,250.91869576765032,Abuja,Residential,Pad,No
2,2,28.506172072078282,15.908331031289848,20.859108179030297,0.0,240.2605518553663,0.0,0.0,381.09103640711453,170.91533372954038,Abuja,Residential,Pad,Yes
5,1,30.590985596269718,17.24108627403642,26.815381402028237,38.07807589820042,0.0,366.603864254893,364.7233981336897,304.75500847792387,151.88059682207114,Plateau,Commercial,Pad,Yes
3,2,14.138298438490095,22.15350407459093,21.869553137906188,33.990294308625394,223.0070162967057,377.2256095570639,353.9872253145787,327.0335747699604,155.72984851378448,Abuja,Residential,Pad,Yes
2,2,26.694059956867395,19.31221959550139,25.436399789628226,0.0,19.708015453974102,0.0,357.7682770049222,319.14181789614014,194.92921832114914,Abuja,Commercial,Pad,No
1,1,27.353345657873795,22.83822113687077,22.547515818521052,241.49619567739114,0.0,0.0,414.20628355410497,0.0,151.04016707020511,Plateau,Commercial,Pad,Yes
2,2,30.94474075643989,20.56091686460477,25.277901101622042,24.973070010956683,0.0,379.6314942199459,359.30557222376905,335.4129096209704,214.94077294956833,Abuja,Commercial,Pad,No
1,2,21.999833247226825,21.912859683677183,22.076441787981587,232.35363345353193,248.0444687528818,399.9896648508031,0.0,406.1163276036655,247.96633338986456,Abuja,Residential,Pad,Yes
2,2,28.688340875432896,25.331360427684814,23.7672339454313,0.0,120.62166592949328,0.0,354.9744783052165,325.6558880006517,165.4063334681968,Abuja,Commercial,Pad,No
4,2,31.438594710719993,7.7504559070789805,27.46442981579133,60.117456034607805,209.61827188008903,381.42922155774465,344.44034640753375,302.8875475550841,247.56683471390858,Abuja,Residential,Strip,Yes
5,1,25.99396869755743,23.12958165414164,26.68104730641501,0.0,4.294212957486721,379.5249108318249,0.0,314.81396056076227,154.23098637860414,Plateau,School,Pad,No
1,3,24.289346339449153,23.233686048147455,27.411734788123436,250.71358220142935,0.0,0.0,0.0,416.34060283679287,143.6295910507549,Lagos,Commercial,Strip,No
2,1,27.751073755563368,21.789232357138896,8.900518186340623,61.16558452147798,200.799288478756,538.9566995293156,0.0,330.3112749066331,171.12778353968653,Kwara,Commercial,Pad,No
3,2,26.11946158873347,24.26115276580378,26.95445949522977,94.21807282629001,232.2290080142539,396.7941700655543,0.0,326.9277441959493,148.52719839048942,Abuja,School,Pad,Unknown
2,1,27.02405796539265,26.396572858419955,23.864439625227988,251.8330528473935,260.9497721052731,410.26119211904614,0.0,414.4156906144758,191.58889451845178,Benue,Residential,Pad,Yes
2,2,25.87050707196348,22.650254749341325,23.180421130047094,0.0,0.0,0.0,414.34896462880096,428.93002624572915,187.86352327532734,Abuja,Commercial,Pad,Yes
2,3,27.316903537625635,22.564254984458817,23.11861203244962,0.0,252.27986402468426,412.0673753894005,412.2199531489332,0.0,193.50700593813184,Lagos,Church,Pad,Yes
2,2,25.96456387408896,22.74649616371149,27.35515240788475,0.0,0.0,408.2760283957576,406.30779378394607,405.46152926615855,158.2029524175626,Abuja,Residential,Pad,Yes
2,2,25.19820032205006,21.860973361540168,23.50092733016743,258.4709591198109,247.64069469260085,404.5609787809658,0.0,384.50618259920407,214.01565494421567,Abuja,School,Pad,No
1,2,23.266027387991286,23.770539141348493,27.999050129405514,53.92634982420158,211.2499991228723,355.7653323126916,377.4159684698637,10.331052943836545,199.7328533810146,Abuja,Commercial,Pad,Yes
2,2,26.250649617686506,28.600053632166127,26.22559598704662,74.29759507988922,221.77686190223238,0.0,0.0,361.1203129601414,210.1341077797116,Abuja,Commercial,Pad,No
1,2,27.682937555233327,23.03035322554106,26.223373524860786,267.447395233699,248.02096630960438,543.4820046323208,0.0,0.0,177.2527153871117,Abuja,School,Pad,Yes
2,3,25.17499861059937,17.6410888173925,28.393497666175406,443.18534534848425,9.280930528565777,545.4910059156449,0.0,311.7582553738126,211.80735876374135,Lagos,Commercial,Pad,Unknown
2,3,26.894246673213555,10.643157394623124,24.23036757110757,0.0,0.0,0.0,355.9488036582916,317.8268150538668,197.26340908714553,Lagos,Commercial,Raft,Yes
3,1,26.96236708836445,20.912594472698558,26.68702616755866,0.0,228.16960428157705,0.0,355.42454827492196,0.0,175.0715789095514,Plateau,Commercial,Pad,Yes
1,1,26.4169649514162,20.81491600239421,25.810751413894103,7.747378546580817,-10.843123340690758,374.4668304624108,354.4715031416484,456.3038938575943,172.21699802235082,Benue,Church,Strip,Unknown
2,2,27.767488449863844,22.79805763501616,28.010425581883155,50.20989278049674,214.5107829175879,0.0,363.0178417271233,426.3977141010113,253.27024875463803,Abuja,Residential,Pad,Unknown
3,3,27.16790401224322,24.6052698822679,25.832095068342795,255.67821206055763,252.67946293687422,412.7243269921159,0.0,0.0,127.62150323722243,Lagos,Residential,Pad,Yes
2,2,27.582434145674544,22.810346009527965,22.05027268975461,271.32494226852987,246.91177270458576,0.0,413.4848524497952,482.57423566193324,250.617295443288,Abuja,Residential,Pad,Yes
3,2,28.026667190861453,23.635658705516803,24.03312967184304,0.0,0.0,411.9094365391167,410.03566840282235,402.807516764801,221.40455240822982,Abuja,Residential,Pad,Yes
2,2,22.559500638079108,8.442573174675276,33.404713130103225,0.0,46.414223562098634,0.0,0.0,0.0,211.77815711290302,Abuja,School,Pad,No
2,2,22.286067203366073,17.900495844075945,21.79841693408891,259.623084399426,0.0,407.4244857362456,408.03686095001444,0.0,165.5237855498851,Abuja,Commercial,Pad,Yes
1,1,26.410803072313982,19.75022678500513,26.354253174569198,67.6701636673562,149.7499847502839,392.77800646882673,367.38603839665006,0.0,187.81044602956248,Plateau,Residential,Pad,Yes
2,3,27.762644969054733,24.801868180532676,29.541460626138893,216.2353897901696,224.5411844470288,363.6124412956672,525.2873033995733,0.0,232.4671390899922,Lagos,Residential,Pad,Unknown
2,2,26.266210389936127,21.185564708233404,25.366810027867007,26.939942749294104,244.63986356838564,382.6429394791626,0.0,0.0,211.94810351652254,Abuja,Residential,Pad,Yes
3,2,26.973668317122968,26.861286218372737,26.985201145196203,239.2550529384515,0.0,0.0,404.0036222650853,407.20101308001745,247.2350310309749,Abuja,Commercial,Pad,Yes
2,2,27.009287707134973,22.364988166429146,24.72624573700643,0.0,242.906639162638,413.56973910472544,413.61487027992536,406.86410106653847,178.4566922937028,Abuja,School,Pad,Yes
3,2,20.929153933722876,19.29031544178162,26.40351635300594,0.0,0.0,0.0,361.4018591298126,0.0,248.29026742639977,Abuja,Commercial,Pad,Unknown
6,2,27.58608240751632,27.07958266946111,27.082505490010526,244.2017418813577,0.0,0.0,409.37860857476545,407.4143108585775,151.1759335881765,Abuja,Church,Strip,Yes
2,2,30.97772193020849,26.530446609733264,31.30816315866955,0.0,199.37228941078368,435.72792967042244,362.9357406388598,337.1806009715575,234.21432952321726,Abuja,School,Pad,Yes
2,1,25.10701054664434,27.733176234975666,22.742312989179563,52.95858244460255,198.48115573783647,383.8758812631436,388.85582778359367,0.0,219.85815711802732,Plateau,Residential,Wide Strip,Unknown
2,2,21.903018411052496,18.276302947714917,22.044923304575814,0.0,251.2819024188585,430.45976441135474,408.9957465606377,0.0,201.44470630646754,Abuja,Residential,Pad,Yes
1,2,26.206423230631945,22.922029912487815,27.606283058023454,266.226189841664,0.0,412.2633260972266,406.2528675108405,0.0,190.2294255343069,Abuja,Residential,Pad,Yes
1,2,25.2031953289141,24.717668433649898,23.37363909345039,78.2287234733314,213.09701307444283,395.0801213390205,381.09798230750584,281.3794262742505,241.66729850334525,Abuja,Commercial,Strip,No
2,2,24.948800769953735,22.132363436404027,22.958160414899705,253.9736020477385,251.74544791573712,463.051387467015,406.073757856133,406.5840107432757,209.9135224296212,Abuja,Commercial,Pad,No
2,2,22.606395286687512,19.831640840705656,21.24002478907923,244.11444171844207,249.8575823925847,404.2851510853888,416.43983137756584,417.5439591158224,174.10284135462015,Abuja,Residential,Pad,No
1,2,25.704091457900045,19.62338872975908,25.61731737295308,0.0,200.42917354368853,0.0,0.0,355.32944704677874,198.16748568591524,Abuja,Commercial,Strip,No
2,2,25.893024401836264,26.75053937964982,25.023824908429575,19.01395532178317,220.38484723902667,390.1409811329641,365.18544336795776,368.08137102780347,244.45524253616426,Abuja,Church,Strip,Yes
2,3,24.9822710136583,22.878835089284827,25.029282977255505,255.99986108044544,0.0,410.6653085020517,0.0,406.4345878128108,225.80918050591194,Lagos,Commercial,Raft,Yes
1,1,25.605082885673447,21.25512410975137,25.392031566221746,74.38843851968785,252.57836128790552,0.0,0.0,368.8921861341627,183.6442584980917,Plateau,Residential,Pad,No
1,2,22.82986221766637,22.957245711377706,23.95657579144517,259.3328478188685,241.85094779775076,410.4326352876025,410.6580359162485,414.09641592754326,200.6947563451407,Abuja,Residential,Pad,Yes
2,2,23.500025291218297,6.93953988878222,24.616623178462348,50.94722350625578,-11.964986937489131,478.54287670484683,384.87120393554585,0.0,184.01461236957908,Abuja,Residential,Raft,No
2,2,25.390631402997403,26.82354977266911,24.313610837971375,0.0,233.61245057364883,0.0,404.5679544325575,414.42815793531855,232.89174942294545,Abuja,Residential,Pad,Yes
2,1,30.609088818824137,27.58710470465899,12.402614139096485,64.15292825312176,0.0,0.0,355.89723843741604,0.0,171.93484227279166,Akwa Ibom,Commercial,Pad,Unknown
2,2,21.66791282002312,18.58096099647287,20.241931508281272,244.2450272616432,249.11929570726178,411.07485935165187,0.0,405.0453779365677,143.28866802499445,Abuja,Commercial,Pad,Yes
2,1,28.0465754293877,21.40439891643992,27.611941428533257,462.0185923611795,0.0,354.6707876699416,374.0518877258519,316.7973987479035,160.3831073211869,Plateau,Commercial,Pad,No
1,2,27.35065347578509,25.980652751304515,24.42018920568805,89.30256532242038,181.53018855202072,0.0,0.0,334.6081497161836,152.32185492044772,Abuja,Residential,Pad,Unknown
2,2,27.33623324969964,23.715079988740477,24.04896799591181,0.0,0.0,403.69687736037497,414.06583459940265,397.06805325566273,192.10607911723446,Abuja,School,Pad,Yes
1,1,7.233336938702545,24.099360643677596,25.594868955235658,29.53557865583185,0.0,381.06459966953844,0.0,0.0,248.20345209455684,Plateau,Commercial,Pad,Unknown
2,1,27.075343858278227,21.564631332909613,25.698245581570134,34.41134865188961,486.1181344677134,375.0592499199091,356.25649093312245,334.3324838673716,250.41396497043698,Benue,Commercial,Pad,Unknown
2,1,24.621663001055552,22.886024328079785,26.00774291629193,253.76022619799963,258.93565606372016,0.0,409.5888167063602,415.86899302903356,147.47189048948698,Plateau,Residential,Pad,Yes
1,2,26.61179295654859,22.300006313023566,26.062951974864358,26.839220171474004,260.17299585929067,384.2179662722935,490.9335836922671,371.60998631095924,197.62883625009283,Abuja,Residential,Pad,Unknown
1,2,25.7679292817106,22.092318420482908,23.491347783440546,225.49623894714873,0.0,407.71065991870177,408.62380917326084,409.0272831190388,172.06803913430664,Abuja,Residential,Pad,Yes
2,2,27.369204122743,27.177883175932415,27.1637248972608,233.83281428020337,258.89392040914083,413.5244406390534,410.74592940240535,408.5972382652108,253.62964370917535,Abuja,Church,Pad,Yes
2,2,27.794364502817565,22.249205309141956,23.94837194233437,0.0,261.6641014020462,435.0081716665377,0.0,419.68189946656486,175.85809614054878,Abuja,Residential,Pad,Yes
2,2,25.71397040731021,22.93470779021213,27.089539901391884,0.0,0.0,408.90296750907316,405.1634339862395,0.0,156.81967012108962,Abuja,Residential,Pad,Yes
5,2,29.1287558311999,21.760406488405952,24.707094538953726,71.82837628562632,335.8587801294162,0.0,375.39062523188034,339.864806088899,233.4377927114284,Abuja,Residential,Raft,Yes
1,2,27.90368775753405,23.815362437764367,25.04618794940565,0.0,0.0,0.0,0.0,323.07081521184756,251.57711589940214,Abuja,Commercial,Pad,Yes
3,2,30.8577404579548,24.707707500817694,27.855327481366352,2.438549627186067,13.497621167994419,390.17639758300027,378.14455919129546,0.0,247.13682566245797,Abuja,Residential,Pad,Unknown
3,1,27.614750767709467,25.534281049425918,25.21309726204446,452.3056324014374,0.0,387.7938592208813,0.0,10.951092490481328,166.98434318840825,Plateau,Commercial,Pad,Unknown
1,3,23.209640806666982,17.35296637599827,25.605707194183925,46.17978275767632,218.85937277666824,370.1774697007359,356.701712196552,489.8106456569053,234.13835471590903,Lagos,Residential,Strip,Yes
1,2,26.35836112724023,27.410540404966245,25.684380553728207,0.0,242.1578258567633,407.8217798634176,409.7817531445501,406.63010651402146,210.89242441944688,Abuja,Residential,Pad,Yes
2,2,24.75694241572014,22.60114595380461,27.34729485956494,0.0,241.63050223972297,0.0,430.8047756293943,0.0,211.92036845514068,Abuja,Commercial,Pad,Yes
2,1,26.63813820221452,11.845165085824444,21.505432484966775,0.0,214.9093741984151,368.75373634158615,375.81877537260254,331.4643320877716,149.56786832802734,Plateau,School,Raft,Yes
2,1,25.5782424675688,22.757356575538054,24.628685628188865,0.0,95.58496673432802,537.685396439486,359.77594993621983,345.55957929449016,247.25180310096695,Plateau,Residential,Raft,Unknown
3,1,27.068205713560936,26.271948281846807,27.090655200358697,0.0,251.76544046014288,0.0,404.96822536269156,415.1310314507129,249.75635312319494,Kwara,Church,Pad,Yes
3,2,30.750720724641017,22.853212865077992,24.830352157048427,13.377139538231521,28.743906571724782,360.8229571890753,362.2174793573605,417.26308043410444,166.73814569252872,Abuja,Commercial,Pad,No
2,2,22.334915684407886,27.160146484825308,22.684750551464386,247.66911999264752,0.0,0.0,0.0,403.6051569533105,189.28381981361065,Abuja,Commercial,Raft,Yes
5,1,29.280556750759004,19.707766258413773,26.690279539434396,26.12890873875384,-8.88873710892072,0.0,0.0,0.0,209.43799909066902,Benue,Commercial,Pad,No
2,1,27.553859007755,22.2812045600072,21.984036276151787,0.0,244.8347805179976,0.0,557.0328266831791,419.5905725252323,215.67317792442955,Plateau,School,Pad,Yes
2,2,29.166752102694115,16.712099424405366,23.465759891247295,-4.623324924510533,187.17133555117582,541.122252364712,458.04557900568994,409.02781190171606,140.54033994452476,Abuja,Church,Wide Strip,No
2,2,24.44274590978341,24.868526068967274,22.10117217532801,252.4153743554314,255.20138664770573,0.0,0.0,418.54100853696013,170.02678357109855,Abuja,Residential,Pad,Yes
2,2,18.514625906115047,20.48239733324665,24.109707866419544,443.1351571143538,0.0,370.2909925339259,360.8040661856373,362.3834003418773,195.4420466646875,Abuja,School,Pad,No
4,2,9.055309984106902,19.358497226843728,23.28117868770067,187.7175259542076,0.0,357.9466656505046,0.0,387.263114550892,189.61389059798208,Abuja,Residential,Pad,No
2,2,24.796440219025957,23.396426709590898,24.255718594286503,269.02160590011016,233.81720683661308,405.301905695769,529.0097043599685,0.0,252.7487106938001,Abuja,Residential,Pad,Yes
2,2,27.36186112684417,23.570332251654154,28.218407621043703,24.837649344583216,291.34386677330235,0.0,389.63316890996373,352.5643602790737,173.9392754966195,Abuja,Commercial,Raft,No
2,1,26.390891776659114,23.19810436666282,23.692522594275612,1.645223752532175,235.93302885867715,390.3810797192285,376.4263054829611,312.14195699777366,197.85036226157092,Akwa Ibom,Residential,Wide Strip,Unknown
2,2,24.39523687208866,21.86978292270415,23.629937794518494,249.13839655881557,329.1016625903406,408.6546963269222,406.94379278954443,402.8971161966786,241.57138673919462,Abuja,Residential,Pad,No
2,2,28.36608156464768,19.40955218772696,25.581117291614333,64.39625554158013,215.9435703464365,399.794200635986,359.2757613699261,0.0,240.53622487942422,Abuja,Commercial,Pad,Yes
1,2,30.25084359438906,22.83210797842117,23.3497841689322,415.6155796425787,0.0,359.7830852150068,358.18216961997746,0.0,150.01429044911356,Abuja,Residential,Pad,No
2,2,26.80562117461521,27.340745830961453,22.047132526445992,0.0,245.49919759927792,412.9707370890242,0.0,0.0,180.76335973899606,Abuja,Residential,Raft,Yes
2,2,25.032681507163133,25.408248048284193,25.126357642715238,0.0,223.1991683438496,533.8585595757219,0.0,0.0,248.19765707705014,Abuja,Residential,Pad,No
2,2,25.827187680480066,22.67467851486894,22.273402498380296,254.64778314481484,245.17467715418923,408.2518283231837,418.93211905387085,429.86429500012395,179.80979473525946,Abuja,Residential,Pad,No
1,2,27.114977578236704,24.16462796909669,27.764758499225014,241.66894923664003,249.7182418786027,412.95380221804044,412.69198424129473,409.08847960427084,166.8763642282821,Abuja,School,Pad,Yes
1,1,26.074503240565203,24.337630233462555,28.479751826990757,0.0,192.03231424842124,388.81140863037484,423.99433474244944,0.0,250.14274083624426,Benue,Residential,Strip,No
6,2,20.54078935050663,21.066173121448706,25.016457225945757,40.203571396264735,0.0,0.0,368.0035762742578,0.0,177.58542167678354,Abuja,Residential,Pad,Yes
1,3,25.638680442659794,26.05686238961058,26.522836373204527,0.0,219.0077277956622,0.0,0.0,0.0,194.86471727293417,Lagos,Residential,Pad,Unknown
1,1,24.741633919846183,7.262224476228515,29.805916174596604,46.0632414563938,0.0,367.1265833563458,366.802734800354,3.6252864299476353,211.0503925763251,Plateau,Commercial,Pad,Yes
1,3,24.51859179831612,23.2972817298807,22.12526760304091,256.1924226736945,245.09602435072435,408.97965721625764,409.93036451486836,411.5356238269863,213.1607398304537,Lagos,Commercial,Pad,Yes
4,1,25.635611461686736,20.145386339450436,25.958991075791847,367.6373003736296,0.0,0.0,0.0,311.31912523739754,199.81416627353178,Akwa Ibom,Residential,Pad,Yes
1,1,28.286291205620202,21.554148073119244,26.059089206764344,68.49546274004749,225.71728756868032,359.66046982442595,0.0,0.0,196.3224464010599,Plateau,Residential,Strip,Yes
